Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448860000718718";;AMR-meter;Afname Actief;50,750;kWh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448860000718718";;AMR-meter;Afname Actief;80,500;kWh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448860000718718";;AMR-meter;Afname Inductief;1,750;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448860000718718";;AMR-meter;Afname Actief;50,750;kWh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448860000718718";;AMR-meter;Afname Capacitief;1,750;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448860000718718";;AMR-meter;Afname Actief;77,000;kWh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448860000718718";;AMR-meter;Afname Actief;75,250;kWh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448860000718718";;AMR-meter;Afname Actief;73,500;kWh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448860000718718";;AMR-meter;Afname Actief;57,750;kWh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448860000718718";;AMR-meter;Afname Actief;61,250;kWh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;05:00:00;01-06-2026;05:15:00;="541448860000718718";;AMR-meter;Afname Actief;64,750;kWh;Gevalideerd;
01-06-2026;05:00:00;01-06-2026;05:15:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;05:00:00;01-06-2026;05:15:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;05:00:00;01-06-2026;05:15:00;="541448860000718718";;AMR-meter;Afname Inductief;1,750;kVArh;Gevalideerd;
01-06-2026;05:15:00;01-06-2026;05:30:00;="541448860000718718";;AMR-meter;Afname Actief;68,250;kWh;Gevalideerd;
01-06-2026;05:15:00;01-06-2026;05:30:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;05:15:00;01-06-2026;05:30:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
