Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000243468";;AMR-meter;Afname Actief;0,375;kWh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,065;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,065;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000243468";;AMR-meter;Afname Actief;0,380;kWh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,065;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,065;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000243468";;AMR-meter;Afname Actief;0,375;kWh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000243468";;AMR-meter;Afname Reactief;0,065;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000243468";;AMR-meter;Afname Inductief;0,065;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448810000243468";;AMR-meter;Afname Actief;0,370;kWh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448810000243468";;AMR-meter;Afname Reactief;0,065;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448810000243468";;AMR-meter;Afname Inductief;0,065;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448810000243468";;AMR-meter;Afname Actief;0,370;kWh;Gevalideerd;
