Date,Price
01/06/2026 00:00,136.55
01/06/2026 01:00,121.21
01/06/2026 02:00,115.46
01/06/2026 03:00,114.4
01/06/2026 04:00,116.42
01/06/2026 05:00,126.52
01/06/2026 06:00,140.16
01/06/2026 07:00,141.59
01/06/2026 08:00,146.13
01/06/2026 09:00,119.14
01/06/2026 10:00,106.46
01/06/2026 11:00,89.68
01/06/2026 12:00,77.26
01/06/2026 13:00,73.02
01/06/2026 14:00,109.93
01/06/2026 15:00,111.45
01/06/2026 16:00,113.33
01/06/2026 17:00,119
01/06/2026 18:00,134.62
01/06/2026 19:00,178.6
01/06/2026 20:00,221.2
01/06/2026 21:00,214.34
01/06/2026 22:00,181.16
01/06/2026 23:00,152.4
02/06/2026 00:00,138.26
02/06/2026 01:00,124.99
02/06/2026 02:00,115.78
02/06/2026 03:00,111.11
02/06/2026 04:00,110.72
02/06/2026 05:00,111.65
02/06/2026 06:00,120.42
02/06/2026 07:00,128.21
02/06/2026 08:00,148.45
02/06/2026 09:00,160
02/06/2026 10:00,144.23
02/06/2026 11:00,130.96
02/06/2026 12:00,117.58
02/06/2026 13:00,111.55
02/06/2026 14:00,108.94
02/06/2026 15:00,109.4
02/06/2026 16:00,116.6
02/06/2026 17:00,120.56
02/06/2026 18:00,124.18
02/06/2026 19:00,137.5
02/06/2026 20:00,145.32
02/06/2026 21:00,143.97
02/06/2026 22:00,132.63
02/06/2026 23:00,114.76
03/06/2026 00:00,105.63
03/06/2026 01:00,111.44
03/06/2026 02:00,98.21
03/06/2026 03:00,103.14
03/06/2026 04:00,101.56
03/06/2026 05:00,105.41
03/06/2026 06:00,126.34
03/06/2026 07:00,141.19
03/06/2026 08:00,135
03/06/2026 09:00,99.49
03/06/2026 10:00,78.64
03/06/2026 11:00,60.5
03/06/2026 12:00,46.97
03/06/2026 13:00,31.43
03/06/2026 14:00,31.39
03/06/2026 15:00,39.93
03/06/2026 16:00,60.18
03/06/2026 17:00,84.61
03/06/2026 18:00,106.15
03/06/2026 19:00,116.4
03/06/2026 20:00,115
03/06/2026 21:00,101.97
03/06/2026 22:00,99.89
03/06/2026 23:00,79.13
04/06/2026 00:00,71.17
04/06/2026 01:00,62.72
04/06/2026 02:00,55.06
04/06/2026 03:00,54.67
04/06/2026 04:00,52.59
04/06/2026 05:00,54.37
04/06/2026 06:00,64
04/06/2026 07:00,76.5
04/06/2026 08:00,70.06
04/06/2026 09:00,40
04/06/2026 10:00,4.21
04/06/2026 11:00,0.01
04/06/2026 12:00,-0.01
04/06/2026 13:00,-0.03
04/06/2026 14:00,-0.01
04/06/2026 15:00,1.21
04/06/2026 16:00,21.16
04/06/2026 17:00,52.5
04/06/2026 18:00,85
04/06/2026 19:00,98.05
04/06/2026 20:00,103.23
04/06/2026 21:00,102.74
04/06/2026 22:00,99.8
04/06/2026 23:00,93.08
05/06/2026 00:00,70.25
05/06/2026 01:00,66.44
05/06/2026 02:00,71.21
05/06/2026 03:00,68.99
05/06/2026 04:00,73.24
05/06/2026 05:00,80.27
05/06/2026 06:00,96.15
05/06/2026 07:00,109.76
05/06/2026 08:00,125.07
05/06/2026 09:00,124.23
05/06/2026 10:00,97.99
05/06/2026 11:00,103.38
05/06/2026 12:00,74.65
05/06/2026 13:00,36.93
05/06/2026 14:00,24.18
05/06/2026 15:00,34.18
05/06/2026 16:00,63.63
05/06/2026 17:00,93.13
05/06/2026 18:00,117.63
05/06/2026 19:00,142.18
05/06/2026 20:00,164.2
05/06/2026 21:00,175.02
05/06/2026 22:00,163.04
05/06/2026 23:00,150.66
06/06/2026 00:00,145.09
06/06/2026 01:00,130.84
06/06/2026 02:00,125.42
06/06/2026 03:00,128.54
06/06/2026 04:00,117.8
06/06/2026 05:00,116.88
06/06/2026 06:00,114.22
06/06/2026 07:00,103.17
06/06/2026 08:00,92.6
06/06/2026 09:00,83.57
06/06/2026 10:00,44.11
06/06/2026 11:00,0.24
06/06/2026 12:00,0.03
06/06/2026 13:00,0.02
06/06/2026 14:00,0.2
06/06/2026 15:00,23.72
06/06/2026 16:00,41.12
06/06/2026 17:00,90.93
06/06/2026 18:00,114.99
06/06/2026 19:00,125.18
06/06/2026 20:00,116.36
06/06/2026 21:00,107.4
06/06/2026 22:00,107.96
06/06/2026 23:00,99.42
07/06/2026 00:00,87.07
07/06/2026 01:00,79.13
07/06/2026 02:00,73.06
07/06/2026 03:00,63.52
07/06/2026 04:00,51.89
07/06/2026 05:00,31.33
07/06/2026 06:00,5.08
07/06/2026 07:00,0.46
07/06/2026 08:00,-0.55
07/06/2026 09:00,-5.05
07/06/2026 10:00,-8
07/06/2026 11:00,-14.05
07/06/2026 12:00,-18.26
07/06/2026 13:00,-35.9
07/06/2026 14:00,-44.69
07/06/2026 15:00,-36.38
07/06/2026 16:00,-15.94
07/06/2026 17:00,-1.11
07/06/2026 18:00,46.39
07/06/2026 19:00,99.91
07/06/2026 20:00,127.35
07/06/2026 21:00,132.9
07/06/2026 22:00,141.26
07/06/2026 23:00,139.72
08/06/2026 00:00,135.58
08/06/2026 01:00,128.29
08/06/2026 02:00,127.36
08/06/2026 03:00,122.2
08/06/2026 04:00,125.92
08/06/2026 05:00,136.44
08/06/2026 06:00,149.6
08/06/2026 07:00,147.99
08/06/2026 08:00,131.93
08/06/2026 09:00,147.29
08/06/2026 10:00,113.84
08/06/2026 11:00,117.89
08/06/2026 12:00,122.48
08/06/2026 13:00,123
08/06/2026 14:00,101.17
08/06/2026 15:00,92.34
08/06/2026 16:00,106.55
08/06/2026 17:00,120.13
08/06/2026 18:00,139.31
08/06/2026 19:00,171.45
08/06/2026 20:00,181.21
08/06/2026 21:00,165.94
08/06/2026 22:00,151.51
08/06/2026 23:00,122.6
09/06/2026 00:00,117.95
09/06/2026 01:00,111.28
09/06/2026 02:00,103.72
09/06/2026 03:00,99.55
09/06/2026 04:00,97.8
09/06/2026 05:00,102.76
09/06/2026 06:00,118.45
09/06/2026 07:00,125.39
09/06/2026 08:00,115.84
09/06/2026 09:00,90.05
09/06/2026 10:00,60.7
09/06/2026 11:00,44.48
09/06/2026 12:00,18.82
09/06/2026 13:00,4.4
09/06/2026 14:00,2.27
09/06/2026 15:00,4.17
09/06/2026 16:00,28.04
09/06/2026 17:00,64
09/06/2026 18:00,100.5
09/06/2026 19:00,119.59
09/06/2026 20:00,143.42
09/06/2026 21:00,149.57
09/06/2026 22:00,143
09/06/2026 23:00,124.92
10/06/2026 00:00,112.72
10/06/2026 01:00,107.29
10/06/2026 02:00,98.57
10/06/2026 03:00,93.8
10/06/2026 04:00,94.71
10/06/2026 05:00,105.65
10/06/2026 06:00,121.33
10/06/2026 07:00,127.26
10/06/2026 08:00,115.54
10/06/2026 09:00,91.2
10/06/2026 10:00,74.91
10/06/2026 11:00,59.73
10/06/2026 12:00,57.72
10/06/2026 13:00,60.33
10/06/2026 14:00,66.3
10/06/2026 15:00,74.89
10/06/2026 16:00,89.37
10/06/2026 17:00,109.33
10/06/2026 18:00,122.73
10/06/2026 19:00,139.2
10/06/2026 20:00,161.1
10/06/2026 21:00,183.94
10/06/2026 22:00,161.1
10/06/2026 23:00,136
11/06/2026 00:00,140.63
11/06/2026 01:00,128.87
11/06/2026 02:00,121.32
11/06/2026 03:00,118.81
11/06/2026 04:00,119.04
11/06/2026 05:00,121.52
11/06/2026 06:00,135.89
11/06/2026 07:00,140.41
11/06/2026 08:00,127.92
11/06/2026 09:00,124.1
11/06/2026 10:00,109
11/06/2026 11:00,82.51
11/06/2026 12:00,76.56
11/06/2026 13:00,76.81
11/06/2026 14:00,74.12
11/06/2026 15:00,96.78
11/06/2026 16:00,90.97
11/06/2026 17:00,113.53
11/06/2026 18:00,121.42
11/06/2026 19:00,128.65
11/06/2026 20:00,135.04
11/06/2026 21:00,127.74
11/06/2026 22:00,119.55
11/06/2026 23:00,95.74
12/06/2026 00:00,106.49
12/06/2026 01:00,93.63
12/06/2026 02:00,85.29
12/06/2026 03:00,80.75
12/06/2026 04:00,79.93
12/06/2026 05:00,84.57
12/06/2026 06:00,104.87
12/06/2026 07:00,111.92
12/06/2026 08:00,115.48
12/06/2026 09:00,115.26
12/06/2026 10:00,92
12/06/2026 11:00,79.34
12/06/2026 12:00,71.01
12/06/2026 13:00,59.85
12/06/2026 14:00,52.24
12/06/2026 15:00,41.34
12/06/2026 16:00,51.05
12/06/2026 17:00,59.22
12/06/2026 18:00,79.39
12/06/2026 19:00,95.25
12/06/2026 20:00,103.54
12/06/2026 21:00,107.59
12/06/2026 22:00,111.06
12/06/2026 23:00,100.71
13/06/2026 00:00,85.06
13/06/2026 01:00,73.51
13/06/2026 02:00,61.73
13/06/2026 03:00,56.46
13/06/2026 04:00,57.22
13/06/2026 05:00,48.27
13/06/2026 06:00,29.66
13/06/2026 07:00,13.66
13/06/2026 08:00,0.33
13/06/2026 09:00,-1.11
13/06/2026 10:00,-4.92
13/06/2026 11:00,-15.67
13/06/2026 12:00,-27.42
13/06/2026 13:00,-45.87
13/06/2026 14:00,-45
13/06/2026 15:00,-31.51
13/06/2026 16:00,-18.86
13/06/2026 17:00,-3.98
13/06/2026 18:00,1.65
13/06/2026 19:00,37.61
13/06/2026 20:00,89.53
13/06/2026 21:00,103.22
13/06/2026 22:00,115.25
13/06/2026 23:00,105.48
14/06/2026 00:00,77.52
14/06/2026 01:00,51.62
14/06/2026 02:00,36.02
14/06/2026 03:00,29.97
14/06/2026 04:00,28.23
14/06/2026 05:00,21.92
14/06/2026 06:00,7.76
14/06/2026 07:00,0.46
14/06/2026 08:00,-0.35
14/06/2026 09:00,-2.83
14/06/2026 10:00,-6.37
14/06/2026 11:00,-9.29
14/06/2026 12:00,-14.99
14/06/2026 13:00,-23.42
14/06/2026 14:00,-24.94
14/06/2026 15:00,-19.69
14/06/2026 16:00,-9.01
14/06/2026 17:00,-1.61
14/06/2026 18:00,5.69
14/06/2026 19:00,69.98
14/06/2026 20:00,116.73
14/06/2026 21:00,117.83
14/06/2026 22:00,122.18
14/06/2026 23:00,115.1
15/06/2026 00:00,108.27
15/06/2026 01:00,95.52
15/06/2026 02:00,92.74
15/06/2026 03:00,101.25
15/06/2026 04:00,94.25
15/06/2026 05:00,96.99
15/06/2026 06:00,112.25
15/06/2026 07:00,115.18
15/06/2026 08:00,116.21
15/06/2026 09:00,101.87
15/06/2026 10:00,46.02
15/06/2026 11:00,14.29
15/06/2026 12:00,0.6
15/06/2026 13:00,1.06
15/06/2026 14:00,3.41
15/06/2026 15:00,-0.01
15/06/2026 16:00,10.77
15/06/2026 17:00,49.81
15/06/2026 18:00,99.76
15/06/2026 19:00,133.37
