Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448800000011853";;AMR-meter;Afname Actief;472,500;kWh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448800000011853";;AMR-meter;Afname Inductief;82,250;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448800000011853";;AMR-meter;Afname Actief;467,250;kWh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448800000011853";;AMR-meter;Afname Inductief;78,750;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448800000011853";;AMR-meter;Afname Actief;432,250;kWh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448800000011853";;AMR-meter;Afname Inductief;73,500;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448800000011853";;AMR-meter;Afname Actief;416,500;kWh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448800000011853";;AMR-meter;Afname Inductief;71,750;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448800000011853";;AMR-meter;Afname Actief;395,500;kWh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448800000011853";;AMR-meter;Afname Inductief;63,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448800000011853";;AMR-meter;Afname Actief;400,750;kWh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448800000011853";;AMR-meter;Afname Inductief;70,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448800000011853";;AMR-meter;Afname Actief;399,000;kWh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448800000011853";;AMR-meter;Afname Inductief;64,750;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448800000011853";;AMR-meter;Afname Actief;400,750;kWh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448800000011853";;AMR-meter;Afname Inductief;70,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448800000011853";;AMR-meter;Afname Actief;358,750;kWh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448800000011853";;AMR-meter;Afname Inductief;59,500;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448800000011853";;AMR-meter;Afname Actief;325,500;kWh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448800000011853";;AMR-meter;Afname Inductief;42,000;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448800000011853";;AMR-meter;Afname Actief;358,750;kWh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448800000011853";;AMR-meter;Afname Inductief;57,750;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448800000011853";;AMR-meter;Afname Actief;348,250;kWh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448800000011853";;AMR-meter;Afname Inductief;47,250;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448800000011853";;AMR-meter;Afname Actief;343,000;kWh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448800000011853";;AMR-meter;Afname Inductief;40,250;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448800000011853";;AMR-meter;Afname Actief;372,750;kWh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448800000011853";;AMR-meter;Afname Inductief;54,250;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448800000011853";;AMR-meter;Afname Actief;414,750;kWh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448800000011853";;AMR-meter;Afname Inductief;75,250;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448800000011853";;AMR-meter;Afname Actief;413,000;kWh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448800000011853";;AMR-meter;Afname Inductief;75,250;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448800000011853";;AMR-meter;Afname Actief;444,500;kWh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448800000011853";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448800000011853";;AMR-meter;Afname Inductief;80,500;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448800000011853";;AMR-meter;Afname Actief;418,250;kWh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448800000011853";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
